"X","GlobalEventID","Day","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_Fullname","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_ADM2Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_Fullname","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_ADM2Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_Fullname","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_ADM2Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","Dateadded","Sourceurl","CutURL","CutURL2"
445689,620675248,20170125,201701,2017,2017.0685,"NGA","NIGERIA","NGA",NA,NA,NA,NA,NA,NA,NA,"CHN","SHANGHAI","CHN",NA,NA,NA,NA,NA,NA,NA,1,190,190,19,"4",-10,2,1,2,1.27659574468085,1,"Nigeria","NI","NI",NA,10,8,"NI",1,"Nigeria","NI","NI",NA,10,8,"NI",1,"Nigeria","NI","NI",NA,10,8,"NI",20170125184500,"http://thenationonlineng.net/west-brom-shanghai-shenhua-battle-ighalo/","thenationo","thenationonli"
446800,620701071,20170125,201701,2017,2017.0685,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"CHNCVL","CHINA","CHN",NA,NA,NA,NA,"CVL",NA,NA,1,42,42,4,"1",1.9,2,1,2,7.14285714285714,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",20170125203000,"http://www.premiumtimesng.com/news/more-news/221570-chinese-leaving-nigeria-envoy.html","www.premiu","www.premiumti"
450680,620782768,20170126,201701,2017,2017.0712,"GOV","ENVOY",NA,NA,NA,NA,NA,"GOV",NA,NA,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,0,311,31,3,"1",5.2,2,1,2,0.29761904761905,4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",1,"China","CH","CH",NA,35,105,"CH",4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",20170126011500,"http://punchng.com/fast-track-infrastructure-projects-nigeria-fg-begs-china/","punchng.co","punchng.com/f"
450681,620782770,20170126,201701,2017,2017.0712,"GOV","ENVOY",NA,NA,NA,NA,NA,"GOV",NA,NA,"CHNBUS","CHINESE","CHN",NA,NA,NA,NA,"BUS",NA,NA,0,311,31,3,"1",5.2,6,1,6,0.29761904761905,4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",1,"China","CH","CH",NA,35,105,"CH",4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",20170126011500,"http://punchng.com/fast-track-infrastructure-projects-nigeria-fg-begs-china/","punchng.co","punchng.com/f"
450709,620783487,20170126,201701,2017,2017.0712,"NGA","ABUJA","NGA",NA,NA,NA,NA,NA,NA,NA,"CHNBUS","CHINESE","CHN",NA,NA,NA,NA,"BUS",NA,NA,1,20,20,2,"1",3,5,1,5,0.29761904761905,4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",20170126011500,"http://punchng.com/fast-track-infrastructure-projects-nigeria-fg-begs-china/","punchng.co","punchng.com/f"
453377,620844348,20170126,201701,2017,2017.0712,"CHNGOVMED","CHINESE","CHN",NA,NA,NA,NA,"GOV","MED",NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,1,51,51,5,"1",3.4,6,1,6,0.48154093097913,4,"Beijing, Beijing, China","CH","CH22",13001,39.9289,116.388,"-1898541",4,"Beijing, Beijing, China","CH","CH22",13001,39.9289,116.388,"-1898541",4,"Abuja, Abuja Federal Capital Territory, Nigeria","NI","NI11",191147,9.08333,7.53333,"-1997013",20170126054500,"http://chinadigitaltimes.net/2017/01/last-african-allies-stick-taiwan-despite-beijings-billions/","chinadigit","chinadigitalt"
453802,620849703,20170126,201701,2017,2017.0712,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"CHNCVL","CHINA","CHN",NA,NA,NA,NA,"CVL",NA,NA,1,42,42,4,"1",1.9,2,1,2,6.80272108843537,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",20170126061500,"http://allafrica.com/stories/201701260004.html","allafrica.","allafrica.com"
455683,620878840,20170126,201701,2017,2017.0712,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"CHNCVL","CHINA","CHN",NA,NA,NA,NA,"CVL",NA,NA,1,42,42,4,"1",1.9,2,1,2,6.01374570446736,4,"Anambra, Nigeria (general), Nigeria","NI","NI00",22911,7.26667,7.4,"-1999832",4,"Anambra, Nigeria (general), Nigeria","NI","NI00",22911,7.26667,7.4,"-1999832",4,"Anambra, Nigeria (general), Nigeria","NI","NI00",22911,7.26667,7.4,"-1999832",20170126081500,"http://www.theneighbourhoodonline.com/news/headlinenew/why-chinese-are-leaving-nigeria-envoy.html","www.thenei","www.theneighb"
456244,620886210,20170126,201701,2017,2017.0712,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,111,111,11,"3",-2,2,1,2,0.94830223309881,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",0,NA,NA,NA,NA,NA,NA,NA,4,"Lagos, Lagos, Nigeria","NI","NI05",191416,6.45306,3.39583,"-2017355",20170126090000,"http://www.nairaland.com/3590462/4-reasons-why-nokia-beat","www.nairal","www.nairaland"
456640,620891266,20170126,201701,2017,2017.0712,"NGA","NIGERIA","NGA",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,0,10,10,1,"1",0,4,1,4,-1.79063360881542,1,"Nigeria","NI","NI",NA,10,8,"NI",4,"China To, Nyanza, Kenya","KE","KE07",115039,-1.28333,34.6167,"-2243370",1,"Nigeria","NI","NI",NA,10,8,"NI",20170126091500,"http://www.pambazuka.org/governance/obama%E2%80%99s-big-joke","www.pambaz","www.pambazuka"
